Age,Pos,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,oWAR,dWAR,oRAR,Salary
31,8,86,342,2,0,0,-10,1,-7,-0.9,11,4,0.2,1.3,-1,14,4.00000
28,14,49,66,-4,0,0,-1,0,-5,-0.5,1,-4,-0.9,-0.9,-0.1,-3,0.56350
29,8,59,255,2,-1,2,-1,1,3,0.4,9,12,1.3,1.3,0.1,13,6.28571
27,9,102,447,27,-1,-2,20,-4,40,4,16,55,5.5,3.4,1.7,35,0.68430
24,15,4,8,0,-1,0,0,0,-1,-0.1,0,-1,0,0,0,0,0.56350
30,14,17,38,2,1,0,2,0,5,0.5,1,6,0.6,0.4,0.2,4,0.56350
22,5,25,89,-2,-1,0,1,0,-1,-0.1,3,2,0.2,0.1,0.2,1,0.56350
23,6,102,443,-9,3,1,8,5,8,0.9,16,23,2.4,1.5,1.4,15,0.57600
30,7,41,130,2,0,1,1,-1,3,0.2,4,7,0.6,0.6,-0.1,6,2.87500
30,9,151,656,1,4,0,-2,-5,-3,-0.5,21,18,1.5,1.9,-0.9,20,8.40000
27,8,89,248,-6,0,0,1,2,-4,-0.3,9,5,0.6,0.4,0.4,4,0.57100
27,4,152,608,1,-1,1,-1,4,3,0.1,20,23,2,2.3,0.1,24,0.58400
23,14,67,242,-5,2,0,14,0,11,1,8,19,1.8,0.4,1.3,4,0.56350
33,9,137,528,-8,0,-1,-6,-4,-20,-2.2,17,-3,-0.6,0.2,-1.2,3,3.00000
25,4,82,241,-8,0,-1,2,3,-4,-0.5,8,3,0.2,0.1,0.4,1,3.40000
30,4,84,221,6,0,0,2,1,9,0.9,2,11,0.9,1,0.2,9,0.56350
28,15,28,32,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,-0.1,0,-1,0.56350
26,10,14,49,-6,0,0,-1,-1,-8,-0.8,2,-6,-0.6,-0.6,-0.2,-5,0.56350
25,8,130,363,-16,0,0,-5,2,-20,-2.1,12,-8,-1,-0.4,-0.4,-3,0.61550
39,3,131,545,-4,0,-4,0,-8,-15,-1.3,20,4,0.5,0.4,-0.6,4,28.00000
28,13,69,247,6,0,0,-3,-1,2,0.2,9,10,1.1,1.3,-0.3,13,2.00000
26,15,18,48,-6,0,0,0,0,-7,-0.7,2,-5,-0.5,-0.5,0,-5,0.56350
32,2,63,201,-1,0,-1,7,3,8,0.7,7,15,1.4,0.7,1,8,4.25000
26,13,23,50,1,0,0,-1,0,0,-0.1,2,1,0.1,0.2,-0.1,2,0.55750
25,5,156,690,53,-1,0,12,5,69,6.8,24,93,9.1,7.7,1.9,81,0.64050
